dataset,variant,q,auc_mean,auc_std,n
Cora,PI,0.0,0.9208,0.0059,20
Cora,PI,0.25,0.9187,0.0047,20
Cora,PI,0.5,0.9143,0.0063,20
Cora,PI,1.0,0.9018,0.0077,20
Cora,no-PI,0.0,0.9203,0.0039,20
Cora,no-PI,0.25,0.9185,0.0046,20
Cora,no-PI,0.5,0.9160,0.0038,20
Cora,no-PI,1.0,0.9019,0.0093,20
Chameleon,PI,0.0,0.9436,0.0068,20
Chameleon,PI,0.25,0.9558,0.0057,20
Chameleon,PI,0.5,0.9565,0.0055,20
Chameleon,PI,1.0,0.9573,0.0049,20
Chameleon,no-PI,0.0,0.9694,0.0050,20
Chameleon,no-PI,0.25,0.9778,0.0072,20
Chameleon,no-PI,0.5,0.9792,0.0067,20
Chameleon,no-PI,1.0,0.9759,0.0098,20
