dataset,variant,p,auc_mean,auc_std,n,n_seeds,seed_std
Chameleon,PI,0.0,0.9712,0.0044,30,3,0.0010
Chameleon,PI,5.0,0.9790,0.0041,30,3,0.0010
Chameleon,PI,10.0,0.9811,0.0042,30,3,0.0014
Chameleon,PI,20.0,0.9826,0.0048,30,3,0.0003
Chameleon,no-PI,0.0,0.9848,0.0032,30,3,0.0004
Chameleon,no-PI,5.0,0.9832,0.0036,30,3,0.0005
Chameleon,no-PI,10.0,0.9847,0.0044,30,3,0.0013
Chameleon,no-PI,20.0,0.9835,0.0038,30,3,0.0006
Chameleon,GDC-PI,0.0,0.9822,0.0023,30,3,0.0005
Chameleon,GDC-PI,5.0,0.9819,0.0027,30,3,0.0009
Chameleon,GDC-PI,10.0,0.9804,0.0025,30,3,0.0013
Chameleon,GDC-PI,20.0,0.9810,0.0046,30,3,0.0010
Cornell,PI,0.0,0.5998,0.0735,30,3,0.0110
Cornell,PI,5.0,0.5982,0.0666,30,3,0.0196
Cornell,PI,10.0,0.6116,0.0654,30,3,0.0090
Cornell,PI,20.0,0.6082,0.0600,30,3,0.0198
Cornell,no-PI,0.0,0.6076,0.0686,30,3,0.0144
Cornell,no-PI,5.0,0.6123,0.0619,30,3,0.0057
Cornell,no-PI,10.0,0.6141,0.0635,30,3,0.0042
Cornell,no-PI,20.0,0.6070,0.0662,30,3,0.0125
Cornell,GDC-PI,0.0,0.6893,0.0570,30,3,0.0205
Cornell,GDC-PI,5.0,0.6678,0.0679,30,3,0.0121
Cornell,GDC-PI,10.0,0.7237,0.0725,30,3,0.0080
Cornell,GDC-PI,20.0,0.7084,0.0549,30,3,0.0133
Texas,PI,0.0,0.5897,0.0636,30,3,0.0111
Texas,PI,5.0,0.5655,0.0594,30,3,0.0094
Texas,PI,10.0,0.5702,0.0588,30,3,0.0086
Texas,PI,20.0,0.5877,0.0748,30,3,0.0268
Texas,no-PI,0.0,0.5910,0.0587,30,3,0.0182
Texas,no-PI,5.0,0.5746,0.0637,30,3,0.0199
Texas,no-PI,10.0,0.5613,0.0713,30,3,0.0111
Texas,no-PI,20.0,0.5876,0.0762,30,3,0.0373
Texas,GDC-PI,0.0,0.6315,0.0625,30,3,0.0052
Texas,GDC-PI,5.0,0.6237,0.0665,30,3,0.0245
Texas,GDC-PI,10.0,0.6065,0.0736,30,3,0.0254
Texas,GDC-PI,20.0,0.6821,0.0757,30,3,0.0323
